iter	Passed	Remaining
440	1391	1764
441	1393	1759
442	1395	1754
443	1397	1750
444	1401	1748
445	1404	1744
446	1406	1739
447	1408	1735
448	1409	1730
449	1415	1729
450	1419	1727
451	1421	1723
452	1423	1718
453	1425	1714
454	1429	1712
455	1433	1709
456	1435	1705
457	1437	1700
458	1439	1696
459	1449	1701
460	1451	1696
461	1454	1693
462	1456	1689
463	1460	1686
464	1462	1682
465	1464	1678
466	1466	1673
467	1468	1668
468	1469	1663
469	1470	1658
470	1472	1653
471	1476	1651
472	1477	1646
473	1479	1641
474	1480	1636
475	1482	1631
476	1483	1626
477	1484	1621
478	1485	1616
479	1488	1612
480	1491	1608
481	1493	1604
482	1494	1599
483	1495	1594
484	1497	1589
485	1498	1584
486	1499	1579
487	1500	1574
488	1505	1572
489	1507	1569
490	1509	1564
491	1510	1559
492	1511	1554
493	1512	1549
494	1514	1544
495	1515	1539
496	1519	1538
497	1522	1534
498	1525	1531
499	1526	1526
500	1528	1521
501	1529	1517
502	1530	1512
503	1534	1510
504	1536	1505
505	1537	1501
506	1539	1496
507	1540	1492
508	1542	1488
509	1544	1483
510	1545	1478
511	1549	1476
512	1552	1473
513	1553	1469
514	1555	1464
515	1557	1460
516	1558	1456
517	1559	1451
518	1562	1448
519	1564	1444
520	1566	1440
521	1568	1435
522	1569	1431
523	1570	1427
524	1572	1422
525	1573	1417
526	1574	1413
527	1579	1411
528	1580	1407
529	1582	1403
530	1583	1398
531	1584	1394
532	1586	1389
533	1587	1385
534	1588	1380
535	1589	1376
536	1593	1373
537	1595	1370
538	1596	1365
539	1598	1361
540	1599	1357
541	1601	1352
542	1602	1348
543	1603	1344
544	1604	1339
545	1609	1338
546	1611	1334
547	1612	1330
548	1614	1326
549	1615	1321
550	1616	1317
551	1618	1313
552	1619	1308
553	1625	1308
554	1627	1304
555	1628	1300
556	1629	1296
557	1631	1291
558	1632	1287
559	1633	1283
560	1634	1279
561	1639	1277
562	1641	1274
563	1642	1269
564	1644	1265
565	1645	1261
566	1646	1257
567	1647	1253
568	1648	1249
569	1651	1246
570	1654	1242
571	1655	1238
572	1657	1234
573	1658	1230
574	1659	1226
575	1660	1222
576	1662	1218
577	1663	1214
578	1667	1212
579	1669	1209
580	1671	1205
581	1672	1201
582	1673	1197
583	1675	1193
584	1676	1189
585	1678	1185
586	1679	1181
587	1682	1178
588	1684	1175
589	1685	1171
590	1687	1167
591	1688	1163
592	1689	1159
593	1691	1155
594	1692	1152
595	1693	1148
596	1699	1147
597	1700	1143
598	1702	1139
599	1703	1135
600	1705	1132
601	1706	1128
602	1707	1124
603	1708	1120
604	1712	1118
605	1714	1114
606	1716	1111
607	1717	1107
608	1718	1103
609	1720	1099
610	1721	1095
611	1722	1092
612	1723	1088
613	1731	1088
614	1736	1086
615	1739	1084
616	1743	1082
617	1745	1078
618	1747	1075
619	1748	1071
620	1750	1068
621	1753	1065
622	1756	1062
623	1757	1059
624	1759	1055
625	1760	1051
626	1761	1048
627	1763	1044
628	1764	1040
629	1765	1037
630	1769	1034
631	1771	1031
632	1773	1028
633	1774	1024
634	1775	1020
635	1776	1017
636	1778	1013
637	1779	1009
638	1782	1006
639	1784	1004
640	1786	1000
641	1788	997
642	1789	993
643	1790	990
644	1792	986
645	1793	982
646	1794	979
647	1800	977
648	1801	974
649	1803	971
650	1805	967
651	1806	964
652	1807	960
653	1809	957
654	1810	953
655	1814	951
656	1815	948
657	1817	944
658	1818	941
659	1820	937
660	1821	934
661	1822	930
662	1823	926
663	1824	923
664	1828	921
665	1830	917
666	1831	914
667	1833	911
668	1834	907
669	1835	904
670	1836	900
671	1837	897
672	1839	893
673	1842	891
674	1844	888
675	1846	884
676	1847	881
677	1848	877
678	1849	874
679	1851	871
680	1852	867
681	1853	864
682	1855	861
683	1858	858
684	1860	855
685	1862	852
686	1864	849
687	1865	845
688	1866	842
689	1867	839
690	1869	835
691	1872	833
692	1874	830
693	1876	827
694	1877	824
695	1878	820
696	1879	817
697	1881	813
698	1882	810
699	1883	807
700	1888	805
701	1890	802
702	1892	799
703	1893	796
704	1894	792
705	1896	789
706	1897	786
707	1898	782
708	1902	780
709	1904	777
710	1905	774
711	1907	771
712	1908	768
713	1909	764
714	1910	761
715	1912	758
716	1913	755
717	1917	753
718	1919	750
719	1921	747
720	1922	743
721	1923	740
722	1925	737
723	1926	734
724	1927	731
725	1931	729
726	1933	726
727	1935	723
728	1936	719
729	1937	716
730	1939	713
731	1940	710
732	1941	707
733	1943	704
734	1948	702
735	1949	699
736	1951	696
737	1952	693
738	1953	690
739	1955	686
740	1956	683
741	1957	680
742	1961	678
743	1963	675
744	1965	672
745	1967	669
746	1968	666
747	1969	663
748	1970	660
749	1972	657
750	1973	654
751	1978	652
752	1980	649
753	1981	646
754	1983	643
755	1984	640
756	1986	637
757	1987	634
758	1989	631
759	1992	629
760	1994	626
761	1995	623
762	1997	620
763	1998	617
764	1999	614
765	2000	611
766	2002	608
767	2003	605
768	2006	602
769	2008	599
770	2010	597
771	2011	594
772	2013	591
773	2014	588
774	2015	585
775	2016	582
776	2018	579
777	2021	576
778	2023	574
779	2025	571
780	2026	568
781	2027	565
782	2029	562
783	2030	559
784	2031	556
785	2032	553
786	2036	551
787	2038	548
788	2039	545
789	2040	542
790	2041	539
791	2042	536
792	2044	533
793	2045	530
794	2046	527
795	2050	525
796	2052	522
797	2053	519
798	2055	517
799	2056	514
800	2058	511
801	2059	508
802	2060	505
803	2061	502
804	2066	500
805	2068	497
806	2069	495
807	2071	492
808	2072	489
